Freestream Conditions:
Mach:               0.30
Flow AOA:           0.00 deg
u Velocity:       102.47 m/s
v Velocity:         0.00 m/s
Pressure:      1.00e+005 Pa
Temperature:      300.00 K
Density:            1.20 kg/m^3

Iteration Variables:
Iterations:    1000
CFL:           0.50
M-Stage:          4
Timestepping  local


Iter  cont. resid  x-mom resid  y-mom resid  energy resid  Time left
 870    3.39e-003    1.10e-002    4.65e-002     3.40e-003     9:58
 880    4.08e-003    1.05e-002    3.10e-002     4.08e-003     9:14
 890    4.43e-003    1.03e-002    1.19e-002     4.43e-003     8:27
 900    4.14e-003    1.02e-002    1.30e-002     4.14e-003     7:41
 910    3.30e-003    1.03e-002    2.85e-002     3.34e-003     6:52
 920    2.42e-003    1.04e-002    3.76e-002     2.56e-003     6:08
 930    2.30e-003    1.07e-002    3.84e-002     2.54e-003     5:23
 940    2.92e-003    1.10e-002    3.18e-002     3.18e-003     4:37
 950    3.45e-003    1.12e-002    2.08e-002     3.68e-003     3:50
 960    3.48e-003    1.10e-002    1.27e-002     3.69e-003     3:04
 970    2.98e-003    1.05e-002    1.66e-002     3.16e-003     2:17
 980    2.18e-003    9.71e-003    2.30e-002     2.34e-003     1:32
 990    1.61e-003    8.70e-003    2.49e-002     1.74e-003     0:46
1000    1.81e-003    7.62e-003    2.11e-002     1.88e-003     0:00
Elapsed time is 4609.065844 seconds.
