Freestream Conditions:
Mach:               0.30
Flow AOA:           0.00 deg
u Velocity:       102.47 m/s
v Velocity:         0.00 m/s
Pressure:      1.00e+005 Pa
Temperature:      300.00 K
Density:            1.20 kg/m^3

Iteration Variables:
Iterations:    1000
CFL:           0.50
M-Stage:          4
Timestepping  local


Iter  cont. resid  x-mom resid  y-mom resid  energy resid  Time left
 870    7.00e-007    4.36e-007    2.54e-010     1.96e-007     1:02
 880    4.89e-007    5.95e-007    1.50e-010     1.22e-007     0:59
 890    3.15e-007    7.32e-007    2.25e-010     6.35e-008     0:53
 900    1.97e-007    8.26e-007    4.95e-011     4.07e-008     0:49
 910    1.69e-007    8.78e-007    1.34e-010     6.36e-008     0:43
 920    2.11e-007    8.92e-007    1.02e-010     9.14e-008     0:39
 930    2.63e-007    8.75e-007    4.91e-011     1.12e-007     0:34
 940    3.02e-007    8.32e-007    8.35e-011     1.26e-007     0:29
 950    3.25e-007    7.72e-007    2.40e-011     1.32e-007     0:24
 960    3.32e-007    6.98e-007    4.60e-011     1.32e-007     0:19
 970    3.26e-007    6.18e-007    4.05e-011     1.28e-007     0:14
 980    3.09e-007    5.34e-007    1.66e-011     1.20e-007     0:09
 990    2.85e-007    4.52e-007    3.07e-011     1.09e-007     0:04
1000    2.56e-007    3.73e-007    1.11e-011     9.72e-008     0:00
Elapsed time is 518.061816 seconds.
