Freestream Conditions:
Mach:               1.50
Flow AOA:           0.00 deg
u Velocity:       512.35 m/s
v Velocity:         0.00 m/s
Pressure:      1.00e+005 Pa
Temperature:      300.00 K
Density:            1.20 kg/m^3

Iteration Variables:
Iterations:    1000
CFL:           0.50
M-Stage:          4
Timestepping  local


Iter  cont. resid  x-mom resid  y-mom resid  energy resid  Time left
 870    4.49e-003    1.09e-003    3.78e-002     2.45e-003    11:21
 880    4.19e-003    1.00e-003    3.52e-002     2.29e-003     8:10
 890    3.91e-003    9.23e-004    3.28e-002     2.14e-003     7:27
 900    3.64e-003    8.50e-004    3.05e-002     1.99e-003     6:48
 910    3.39e-003    7.83e-004    2.83e-002     1.85e-003     6:06
 920    3.15e-003    7.20e-004    2.62e-002     1.72e-003     5:25
 930    2.92e-003    6.62e-004    2.43e-002     1.60e-003     4:46
 940    2.71e-003    6.08e-004    2.25e-002     1.49e-003     4:04
 950    2.51e-003    5.58e-004    2.08e-002     1.38e-003     3:23
 960    2.32e-003    5.11e-004    1.92e-002     1.28e-003     2:42
 970    2.15e-003    4.69e-004    1.77e-002     1.18e-003     2:02
 980    1.98e-003    4.29e-004    1.62e-002     1.09e-003     1:21
 990    1.83e-003    3.93e-004    1.49e-002     1.01e-003     0:40
1000    1.68e-003    3.59e-004    1.37e-002     9.30e-004     0:00
Elapsed time is 4096.290953 seconds.
